Type|Fatal|NumberTrib|T1Killer|T2Killer|T3Killer|T4Killer|T5Killer|Event
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] clutches a first aid kit and runs away.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] finds a backpack full of camping equipment.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] finds a bag full of explosives.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] finds a bow, some arrows, and a quiver.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] finds a canteen full of water.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] gathers as much food as they can.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] grabs a backpack and retreats.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] grabs a backpack, not realizing it is empty.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] grabs a shield leaning on the cornucopia.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] grabs a shovel.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] grabs a sword.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] retrieves a trident from inside the cornucopia.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] runs away with a lighter and some rope.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] runs into the cornucopia and hides.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] snatches a bottle of alcohol and a rag.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] snatches a pair of sais.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] stays at the cornucopia for resources.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] takes a handful of throwing knives.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] takes a sickle from inside the cornucopia.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] takes a spear from inside the cornucopia.
Bloodbath|N|1|-1|-1|-1|-1|-1|[Player1] wishes to to die by a tree branch first round.
Bloodbath|N|1|-1|-1|-1|-1|-1|As the buzzer sounds [Player1] witnesses Sanad trip over a branch and die.
Bloodbath|N|2|-1|-1|-1|-1|-1|[Player1] and [Player2] fight for a bag. [Player1] gives up and retreats.
Bloodbath|N|2|-1|-1|-1|-1|-1|[Player1] and [Player2] fight for a bag. [Player2] gives up and retreats.
Bloodbath|N|2|-1|-1|-1|-1|-1|[Player1] breaks [Player2]'s nose for a basket of bread.
Bloodbath|N|2|-1|-1|-1|-1|-1|[Player1] grabs a jar of fishing bait while [Player2] gets fishing gear.
Bloodbath|N|2|-1|-1|-1|-1|-1|[Player1] rips a mace out of [Player2]'s hands.
Bloodbath|N|2|-1|-1|-1|-1|-1|[Player1] scares [Player2] away from the cornucopia.
Bloodbath|N|3|-1|-1|-1|-1|-1|[Player1], [Player2], and [Player3] work together to get as many supplies as possible.
Bloodbath|N|4|-1|-1|-1|-1|-1|[Player1], [Player2], [Player3], and [Player4] share everything they gathered before running.
Bloodbath|Y|1|0|-1|-1|-1|-1|[Player1] accidently steps on a landmine.
Bloodbath|Y|1|0|-1|-1|-1|-1|[Player1] cannot handle the circumstances and commits suicide.
Bloodbath|Y|1|0|-1|-1|-1|-1|[Player1] falls into a frozen lake and drowns.
Bloodbath|Y|1|0|-1|-1|-1|-1|[Player1] falls into a pit and dies.
Bloodbath|Y|1|0|-1|-1|-1|-1|[Player1] steps off their podium too soon and blows up.
Bloodbath|Y|2|0|0|-1|-1|-1|[Player1] and [Player2] battle to the death using wheelchairs. Both die.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] and [Player2] fight for a bag. [Player1] strangles [Player2] with the straps and runs.
Bloodbath|Y|2|0|1|-1|-1|-1|[Player1] and [Player2] fight for a bag. [Player2] strangles [Player1] with the straps and runs.
Bloodbath|Y|2|0|0|-1|-1|-1|[Player1] and [Player2] threaten a double suicide. It fails and they die.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] bashes [Player2]'s head against a rock several times.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] bashes [Player2]'s head in with a mace.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] catches [Player2] off guard and kills them.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] convinces [Player2] to not kill them, only to kill [Player2] instead.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] decapitates [Player2] with a sword.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] finds [Player2] hiding in the cornucopia and kills them.
Bloodbath|Y|2|0|1|-1|-1|-1|[Player1] finds [Player2] hiding in the cornucopia, but [Player2] kills them.
Bloodbath|Y|2|0|1|-1|-1|-1|[Player1] is unable to convince [Player2] to not kill them.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] kills [Player2] as they try to run.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] kills [Player2] for their supplies.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] kills [Player2] with a hatchet.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] kills [Player2] with a sickle.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] kills [Player2] with their own weapon.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] overpowers [Player2], killing them.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] pushes [Player2] off a cliff during a knife fight.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] repeatedly stabs [Player2] to death with sais.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] sets [Player2] on fire with a molotov.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] sets an explosive off, killing [Player2].
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] severely injures [Player2] and leaves them to die.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] severely injures [Player2], but puts them out of their misery.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] severely slices [Player2] with a sword.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] shoots a poisonous blow dart into [Player2]'s neck, slowly killing them.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] shoots an arrow into [Player2]'s head.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] snaps [Player2]'s neck.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] spears [Player2] in the abdomen.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] stabs [Player2] in the back with a trident.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] stabs [Player2] while their back is turned.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] stabs [Player2] with a tree branch.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] strangles [Player2] after engaging in a fist fight.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] strangles [Player2] with a rope.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] throws a knife into [Player2]'s chest.
Bloodbath|Y|2|1|0|-1|-1|-1|[Player1] throws a knife into [Player2]'s head.
Bloodbath|Y|3|1|1|0|-1|-1|[Player1] and [Player2] work together to drown [Player3].
